TICID,Camera,CCD,Tmag,RA,Dec,sector
468730990,4,4,8.37,331.8682,44.9377,76
468846984,4,4,8.06,338.8165,53.666,76
469415546,4,1,12.13,307.5064,59.4695,76
469459518,4,1,8.1,307.7586,59.876,76
469463559,4,2,8.0,307.7947,57.3878,76
469464559,4,2,7.39,307.7994,56.889,76
469521730,4,1,8.08,317.9668,58.2862,76
469744638,4,1,17.28,329.6358,58.075,76
469759260,4,1,14.23,329.6556,57.5819,76
469989077,4,1,8.06,330.8538,56.2707,76
470053968,4,1,15.22,331.1615,56.9543,76
471011938,2,1,8.15,238.9072,57.8919,76
471013454,3,2,16.03,263.6759,66.4996,76
471013462,4,4,15.11,335.7462,51.6894,76
471013473,3,2,15.96,266.5185,57.4485,76
471013476,3,3,16.01,279.2196,57.4618,76
471015194,3,3,15.04,294.617,58.4043,76
471015205,1,1,16.4,208.292,48.6725,76
471015219,3,3,15.3,293.815,56.8471,76
900160549,1,3,17.45,177.8781,40.5821,76
900162528,1,3,18.51,177.02,41.1576,76
900172993,1,3,18.4,178.9471,43.4644,76
900174265,1,3,17.2,178.5029,44.0135,76
903820663,1,3,18.66,179.9955,40.7613,76
950045322,1,4,18.57,199.9006,30.4222,76
950070895,1,4,16.94,197.7872,31.3811,76
950077414,1,4,16.39,197.7698,32.6389,76
950117785,1,4,17.03,192.2978,34.1186,76
950136015,1,4,17.51,194.0526,36.3766,76
950146894,1,4,17.17,191.0903,35.7048,76
950155328,1,3,16.98,188.226,36.7346,76
950160467,1,4,17.35,191.4266,37.2013,76
950177683,1,4,17.19,197.4587,37.2589,76
950186143,1,4,16.86,195.703,37.8651,76
950190991,1,4,17.5,196.8785,39.3868,76
950193365,1,4,17.37,196.0352,39.747,76
950201116,1,4,17.7,199.1919,41.7772,76
950204755,1,4,17.36,199.4399,42.1584,76
950214193,1,4,17.68,193.8375,41.1889,76
950217520,1,4,17.27,195.1361,41.7426,76
950243973,1,3,17.57,192.7606,45.2036,76
950256135,1,3,17.51,187.9201,38.1723,76
950268125,1,3,17.39,185.9009,41.3786,76
950268661,1,3,17.14,188.8956,39.3054,76
950281014,1,3,17.03,186.7096,42.216,76
950289653,1,3,17.41,181.8915,39.8899,76
950311103,1,3,17.32,185.2878,44.9783,76
950316266,1,3,17.66,181.8324,45.3848,76
950318655,1,3,17.31,182.5887,45.478,76
950321279,1,3,17.48,180.3857,46.5744,76
950322129,1,3,17.32,180.8844,47.7018,76
950323885,1,3,17.03,191.3986,42.6398,76
950334019,1,3,17.68,188.5286,44.5209,76
950346357,1,3,17.07,190.4377,47.106,76
950353489,1,3,17.63,187.9965,47.8502,76
950364455,1,3,17.33,184.8718,47.2563,76
950370440,1,3,17.21,183.5959,48.7212,76
950375036,1,3,17.41,180.1096,48.564,76
950376123,1,3,17.37,180.062,49.3267,76
950379575,1,3,17.34,180.7947,49.8139,76
950405367,1,1,17.55,198.8953,47.1848,76
950405603,1,1,17.34,199.8439,47.3918,76
950408730,1,1,17.53,198.4905,46.2777,76
950417061,1,2,17.27,197.2724,49.2328,76
950420191,1,2,16.69,193.8588,47.9551,76
